Дата,UserID,Продукт,Количество,Цена
2024-06-02,4331,Tablet,5,137616.0
2024-04-21,4601,Smartphone,11,281648.25
2024-08-08,1558,Smartwatch,1,108357.43
2024-06-25,494,Headphones,2,49200.35
2024-08-27,1551,Laptop,3,200305.97
2024-06-13,1976,Smartphone,1,44878.88
2024-07-08,2042,Smartphone,2,281457.16
2024-03-09,1892,Laptop,3,297283.88
2024-07-04,3331,Smartphone,2,193796.95
2024-05-15,4880,Smartwatch,10,280666.03
2024-09-10,4192,Headphones,4,10165.82
2023-11-15,512,Headphones,3,230165.4
2024-03-24,1190,Tablet,5,127525.04
2024-09-25,262,Headphones,11,54640.38
2024-06-21,2142,Laptop,6,116605.12
2024-06-18,3483,Smartwatch,4,44489.03
2023-12-10,2468,Headphones,7,84905.68
2024-07-18,4157,Smartwatch,9,235286.61
2024-06-10,470,Smartphone,4,10241.08
2023-12-14,3272,Smartwatch,1,237725.86
2024-09-01,75,Laptop,9,164650.8
2024-02-14,318,Laptop,8,127613.46
2023-12-02,4080,Tablet,10,139824.05
2024-05-05,3784,Smartphone,11,212988.64
2024-01-16,1373,Laptop,10,151772.8
2023-12-03,1538,Laptop,1,81695.05
2024-02-09,3671,Headphones,2,114018.35
2024-09-19,551,Tablet,2,163454.12
2024-03-30,2701,Headphones,7,284169.22
2024-08-01,1407,Smartwatch,3,295158.03
2024-08-20,544,Smartphone,6,48390.48
2024-07-14,1295,Laptop,9,40999.03
2024-06-25,1440,Smartwatch,2,266608.0
2024-04-17,4538,Headphones,2,247959.16
2024-05-30,961,Smartwatch,2,165833.22
2024-03-17,2425,Smartphone,3,260659.1
2024-07-22,4083,Laptop,7,226169.66
2024-09-19,4070,Smartphone,7,217675.7
2024-03-25,2397,Headphones,5,40801.05
2024-08-05,4695,Smartphone,8,233779.05
2024-09-20,4397,Headphones,1,28970.33
2023-12-15,3190,Headphones,11,258850.52
2024-04-19,4506,Smartphone,1,205180.31
2024-07-29,2511,Headphones,10,189677.97
2024-03-15,2783,Smartwatch,11,78939.3
2023-10-26,673,Headphones,6,272426.7
2024-05-12,883,Headphones,2,70558.56
2024-05-01,265,Headphones,4,148547.3
2024-07-07,852,Smartwatch,3,230296.34
2024-06-18,3644,Tablet,1,231196.36
2023-11-02,2480,Smartwatch,5,208886.88
2024-10-16,4703,Smartwatch,2,10110.57
2024-04-03,2132,Smartwatch,11,151022.56
2023-11-06,1841,Smartwatch,5,188576.56
2024-06-24,1246,Smartphone,5,84592.31
2024-07-12,3364,Headphones,6,191836.98
2024-10-12,4555,Smartphone,5,116882.68
2024-05-27,3560,Smartwatch,11,157967.31
2024-03-04,4076,Tablet,7,58988.89
2024-08-19,2438,Headphones,2,194749.27
2024-09-05,4566,Tablet,8,68428.48
2023-12-06,2698,Laptop,2,238647.03
2023-12-04,1719,Smartphone,4,176586.17
2024-08-19,1043,Tablet,11,183554.34
2024-02-09,1313,Smartwatch,6,38049.97
2024-02-03,2628,Smartphone,2,202812.06
2024-10-11,21,Headphones,9,125753.23
2024-03-25,836,Smartwatch,4,245508.48
2024-02-01,3326,Smartphone,8,184711.8
2024-03-05,3393,Smartphone,11,82424.84
2024-04-28,2339,Headphones,1,221629.9
2024-05-14,4619,Smartphone,7,76410.48
2024-01-08,2038,Laptop,8,120654.63
2024-07-24,4449,Smartwatch,7,239559.81
2024-02-21,409,Tablet,11,160770.48
2024-06-09,2719,Headphones,9,169921.31
2024-01-20,3559,Headphones,1,215214.8
2024-03-03,311,Headphones,6,116379.89
2024-01-21,4856,Smartwatch,2,225350.6
2024-10-09,3069,Smartphone,4,242417.95
2024-02-27,4587,Headphones,10,255734.67
2024-08-19,2122,Tablet,7,135181.64
2024-05-24,719,Laptop,10,147520.11
2024-09-15,355,Laptop,2,211296.19
2024-10-15,1846,Tablet,3,198984.97
2024-05-27,444,Headphones,10,44480.88
2024-07-08,1844,Laptop,1,290612.56
2024-04-23,428,Tablet,6,126443.38
2023-12-06,753,Headphones,2,154400.61
2024-10-05,796,Tablet,2,241840.9
2023-12-25,3230,Tablet,1,178536.78
2024-09-10,597,Smartwatch,7,261507.7
2024-05-04,4751,Smartwatch,4,285472.8
2023-12-28,890,Headphones,10,174742.81
2024-09-21,4441,Smartphone,7,71664.44
2024-07-28,1843,Tablet,9,61592.96
2024-03-17,3530,Smartwatch,1,161475.94
2023-12-21,586,Tablet,3,299944.5
2024-03-21,1258,Smartwatch,5,135879.17
2024-04-03,3829,Tablet,11,144054.81
2024-09-25,98,Smartphone,2,296741.88
2023-12-07,4116,Laptop,9,278048.16
2024-06-02,4286,Headphones,5,23933.83
2024-03-01,1699,Tablet,10,108992.54
2024-02-26,762,Headphones,7,27831.17
